name,details,ratings,reviews_count,positive_feedbacks,negetive_feedbacks
TCS,IT Services & Consulting | Bangalore / Bengaluru +430 other locations,3.4,1.1L,Job Security,Promotions / Appraisal | Salary & Benefits | Work Satisfaction
Accenture,IT Services & Consulting | Bangalore / Bengaluru +245 other locations,3.7,67.8k,,Promotions / Appraisal | Salary & Benefits | Work Satisfaction
Wipro,IT Services & Consulting | Bangalore / Bengaluru +364 other locations,3.7,60.8k,Job Security,Promotions / Appraisal | Salary & Benefits | Work Satisfaction
Cognizant,IT Services & Consulting | Hyderabad / Secunderabad +224 other locations,3.7,57.7k,,Promotions / Appraisal | Salary & Benefits | Work Satisfaction
Capgemini,IT Services & Consulting | Bangalore / Bengaluru +180 other locations,3.7,49.4k,Work Life Balance | Job Security,Promotions / Appraisal | Salary & Benefits | Work Satisfaction
HDFC Bank,Banking | Mumbai +1778 other locations,3.8,47.8k,Job Security | Skill Development / Learning,Promotions / Appraisal
Infosys,IT Services & Consulting | Bangalore / Bengaluru +237 other locations,3.5,45.4k,Job Security,Promotions / Appraisal | Salary & Benefits | Work Satisfaction
ICICI Bank,Banking | Mumbai +1416 other locations,4.0,43.5k,Job Security | Skill Development / Learning | Company Culture,
HCLTech,IT Services & Consulting | Chennai +223 other locations,3.4,42.5k,,Promotions / Appraisal | Salary & Benefits | Work Satisfaction
Tech Mahindra,IT Services & Consulting | Hyderabad / Secunderabad +329 other locations,3.4,40.6k,,Promotions / Appraisal | Salary & Benefits | Work Satisfaction
Genpact,IT Services & Consulting | Hyderabad / Secunderabad +172 other locations,3.6,38.9k,Job Security,Promotions / Appraisal | Salary & Benefits | Work Satisfaction
Teleperformance,BPO | Mumbai +251 other locations,3.8,34.9k,Job Security,
Axis Bank,Banking | Mumbai +1478 other locations,3.7,30.8k,,Work Satisfaction | Promotions / Appraisal | Company Culture
Concentrix Corporation,BPO | Bangalore / Bengaluru +172 other locations,3.6,30.3k,Job Security,Promotions / Appraisal | Salary & Benefits | Work Satisfaction
Jio,Telecom | Mumbai +1781 other locations,4.3,29.5k,Job Security | Skill Development / Learning | Company Culture,
Amazon,Internet | Bangalore / Bengaluru +510 other locations,4.0,29.3k,Company Culture | Work Life Balance | Salary & Benefits,Promotions / Appraisal
iEnergizer,BPO | Noida +49 other locations,4.6,26.8k,Company Culture | Work Life Balance | Work Satisfaction,
Reliance Retail,Retail | Mumbai +1125 other locations,3.9,25.9k,Skill Development / Learning | Work Life Balance | Job Security,Promotions / Appraisal
IBM,IT Services & Consulting | Bangalore / Bengaluru +159 other locations,3.9,24.6k,Work Life Balance | Company Culture | Job Security,Promotions / Appraisal
LTIMindtree,IT Services & Consulting | Bangalore / Bengaluru +138 other locations,3.6,24.1k,,Promotions / Appraisal | Salary & Benefits | Work Satisfaction
HDB Financial Services,NBFC | Mumbai +1065 other locations,3.9,24k,Job Security | Skill Development / Learning,Promotions / Appraisal
Larsen & Toubro Limited,Engineering & Construction | Chennai +736 other locations,3.9,22.1k,Job Security | Skill Development / Learning,Promotions / Appraisal | Work Life Balance
Deloitte,Management Consulting | Hyderabad / Secunderabad +179 other locations,3.7,21.3k,Job Security,Promotions / Appraisal | Work Life Balance | Work Satisfaction
Kotak Mahindra Bank,Banking | Mumbai +673 other locations,3.6,20.8k,,Promotions / Appraisal | Company Culture | Work Satisfaction
Reliance Industries,Oil & Gas | Jamnagar +795 other locations,4.0,18.9k,Job Security | Skill Development / Learning | Work Life Balance,Promotions / Appraisal
Vodafone Idea,Telecom | Pune +694 other locations,4.0,16.9k,Company Culture | Work Life Balance | Salary & Benefits,Promotions / Appraisal
BYJU'S,EdTech | Bangalore / Bengaluru +322 other locations,3.1,16.6k,,Job Security | Work Life Balance | Company Culture
Bharti Airtel,Telecom | Gurgaon / Gurugram +775 other locations,3.9,16.1k,Skill Development / Learning,Promotions / Appraisal
WNS,BPO | Pune +60 other locations,3.3,14.1k,,Promotions / Appraisal | Salary & Benefits | Company Culture
